option,year,employmentChange,lowEnd,highEnd
2027_10_2_3,2022,-0.024737499999998393,7.619601921297742e-4,-0.06363013872232624
2027_11_0_1,2022,-0.013737499999998392,2.332813770471558e-4,-0.03877396670048246
2027_11_0_2,2022,-0.01473749999999839,2.5463529940928314e-4,-0.04092144541859485
2027_11_0_3,2022,-0.01473749999999839,2.594132033552283e-4,-0.04149596268407933
2027_11_1_1,2022,-0.019737499999998392,5.54697537801124e-4,-0.05348073477926652
2027_11_1_2,2022,-0.02173749999999839,0.00057645328051497875,-0.056287667067478536
2027_11_1_3,2022,-0.02173749999999839,5.843047786863821e-4,-0.0570545789107639
2027_11_2_1,2022,-0.033737499999998394,0.0010159557976927329,-0.08704066080529464
2027_11_2_2,2022,-0.034737499999998395,0.001063730810485794,-0.09050682200754695
2027_11_2_3,2022,-0.03573749999999839,0.0010764430602678771,-0.09145142415216606
2027_12_0_1,2022,-0.024737499999998393,5.983636460807145e-4,-0.06759995376464963
2027_12_0_2,2022,-0.02673749999999839,6.284013439702535e-4,-0.07032081719436888
2027_12_0_3,2022,-0.02673749999999839,6.361134508870526e-4,-0.07102782284242658
2027_12_1_1,2022,-0.03273749999999839,9.054076874678329e-4,-0.08506632101965049
2027_12_1_2,2022,-0.033737499999998394,9.446635810002745e-4,-0.08894189366248031
2027_12_1_3,2022,-0.034737499999998395,9.54714099246765e-4,-0.08992174648214936
2027_12_2_1,2022,-0.04773749999999839,0.0014232127986336086,-0.12148020455258685
2027_12_2_2,2022,-0.049737499999998394,0.0014805855902078006,-0.12606706724462236
2027_12_2_3,2022,-0.049737499999998394,0.001495256489648467,-0.1272259467229229
2027_13_0_1,2022,-0.0461687499999955,0.001161282950260566,-0.1173916604124429
2027_13_0_2,2022,-0.0481687499999955,0.0012078156303645918,-0.12201805280709031
2027_13_0_3,2022,-0.0481687499999955,0.0012191842653174235,-0.12317181351105139
2027_13_1_1,2022,-0.0551687499999955,0.0014511842008737093,-0.13985652205787566
2027_13_1_2,2022,-0.0571687499999955,0.0015086879006585817,-0.1449527351759214
2027_13_1_3,2022,-0.0571687499999955,0.0015227349777831797,-0.1462072149065033
2027_13_2_1,2022,-0.07116874999999549,0.0020215876567700416,-0.1793089959753667
2027_13_2_2,2022,-0.0741687499999955,0.0020982271437497814,-0.18655992642946398
2027_13_2_3,2022,-0.0741687499999955,0.002116930419949918,-0.18847642912584764
2027_14_0_1,2022,-0.0731687499999955,0.001969301325738805,-0.1834249769082408
2027_14_0_2,2022,-0.0751687499999955,0.0020470314475869752,-0.1895430234630215
2027_14_0_3,2022,-0.0761687499999955,0.002067176584074558,-0.19139199742111426
2027_14_1_1,2022,-0.0831687499999955,0.0023213789942600994,-0.20515369911933315
2027_14_1_2,2022,-0.08616874999999549,0.0024000291227220536,-0.21352784108053366
2027_14_1_3,2022,-0.08616874999999549,0.00241903641299005,-0.21528788877963195
2027_14_2_1,2022,-0.10116874999999549,0.0029632956236709715,-0.251429401102419
2027_14_2_2,2022,-0.1051687499999955,0.0030604671250067834,-0.2611111904951639
2027_14_2_3,2022,-0.1061687499999955,0.003083928039258794,-0.2634832014207166
2027_15_0_1,2022,-0.1101687499999955,0.0031127108661584747,-0.27365491278155063
2027_15_0_2,2022,-0.1141687499999955,0.0032101375236669952,-0.28093975385503517
2027_15_0_3,2022,-0.1151687499999955,0.003233607353546837,-0.283829114905244
2027_15_1_1,2022,-0.1221687499999955,0.003485411945568694,-0.3007247529785226
2027_15_1_2,2022,-0.1261687499999955,0.0035939101617485886,-0.3104043702517516
2027_15_1_3,2022,-0.1271687499999955,0.003620042116629653,-0.3127616277148701
2027_15_2_1,2022,-0.1421687499999955,0.004202414856340381,-0.3512327214121587
2027_15_2_2,2022,-0.1471687499999955,0.004329904512296063,-0.3622759501459305
2027_15_2_3,2022,-0.1481687499999955,0.00436059299385365,-0.36447303494493793
rtw,2022,-0.3049999999999999,-0.0022685581681038004,-0.8990791665483875
rtw_ap,2022,-0.21199999999999988,0.006198128736523136,-0.5236162248654319
2025_10_0_1,2023,-0.02085937499999622,2.287663391575334e-4,-0.0646192926776968
2025_10_0_2,2023,-0.02285937499999622,2.6628897592948956e-4,-0.06872588294076547
2025_10_0_3,2023,-0.02285937499999622,2.704691063479519e-4,-0.06965861013934121
2025_10_1_1,2023,-0.03085937499999622,0.0010566797553209226,-0.08985255272310994
2025_10_1_2,2023,-0.03285937499999622,0.0011292918766900564,-0.09474681682944813
2025_10_1_3,2023,-0.03385937499999622,0.0011493325457893433,-0.09607845838690195
2025_10_2_1,2023,-0.05685937499999622,0.002055562547487484,-0.15228859837775624
2025_10_2_2,2023,-0.05885937499999622,0.0021616009076450447,-0.15727442571631436
2025_10_2_3,2023,-0.05985937499999622,0.0021910627091233344,-0.15894876554306606
2025_11_0_1,2023,-0.05432187499999614,0.0010782586886885492,-0.14957309339386773
2025_11_0_2,2023,-0.05632187499999614,0.0011270071141712531,-0.15557896112424371
2025_11_0_3,2023,-0.05732187499999614,0.001149310254548682,-0.15725703831884777
2025_11_1_1,2023,-0.06632187499999614,0.0021992350484971064,-0.1782529721200771
2025_11_1_2,2023,-0.07032187499999613,0.0023325150719810876,-0.18683946959644218
2025_11_1_3,2023,-0.07032187499999613,0.002368826502562535,-0.18913758510667797
2025_11_2_1,2023,-0.09532187499999614,0.003455067477329891,-0.2443703745022213
2025_11_2_2,2023,-0.09932187499999615,0.003615460330604114,-0.254352150351044
2025_11_2_3,2023,-0.10032187499999615,0.0036584502122820246,-0.2569597331616337
2025_12_0_1,2023,-0.11532187499999615,-2.371884216059868e-4,-0.3597391239907147
2025_12_0_2,2023,-0.12032187499999614,0.004059503530422502,-0.3105188728412467
2025_12_0_3,2023,-0.12132187499999614,0.004112559610074649,-0.3136447684447719
2025_12_1_1,2023,-0.13032187499999615,0.004690409960836782,-0.32774997404525474
2025_12_1_2,2023,-0.13632187499999615,0.0049042632502253655,-0.3399420504949473
2025_12_1_3,2023,-0.13732187499999615,0.004961878171533712,-0.34314795460456243
2025_12_2_1,2023,-0.16332187499999615,0.005862532798807998,-0.41072609457028725
2025_12_2_2,2023,-0.17032187499999615,0.00611503376552515,-0.4261117956855692
2025_12_2_3,2023,-0.17132187499999613,0.006180712601307536,-0.43030094409573616
2025_13_0_1,2023,-0.20932187499999613,0.004075739895681109,-0.5147112027223432
2025_13_0_2,2023,-0.21732187499999614,0.004288915339374212,-0.535718134688544
2025_13_0_3,2023,-0.21932187499999614,0.004354441817868305,-0.541236928696205
2025_13_1_1,2023,-0.22632187499999615,0.008084395225088357,-0.563217763278464
2025_13_1_2,2023,-0.23532187499999613,0.00838649657869452,-0.5832819285076438
2025_13_1_3,2023,-0.23832187499999613,0.008464379020227805,-0.5885804535977891
2025_13_2_1,2023,-0.26432187499999615,0.009166356415615017,-0.6556501354909658
2025_13_2_2,2023,-0.27432187499999616,0.009497062161107381,-0.6777592066636587
2025_13_2_3,2023,-0.27732187499999617,0.009582258572125827,-0.6835164461165708
2025_14_0_1,2023,-0.3202437499999932,0.005926547808851697,-0.8194830447469518
2025_14_0_2,2023,-0.33124374999999323,0.006191344295394778,-0.8501977911277624
2025_14_0_3,2023,-0.33424374999999323,0.006263709057248805,-0.8569202277053791
2025_14_1_1,2023,-0.34124374999999324,0.007202290821927463,-0.8723130970768613
2025_14_1_2,2023,-0.3532437499999932,0.00750924603732732,-0.9010958096612409
2025_14_1_3,2023,-0.3562437499999932,0.007593049987446599,-0.9091000735259782
2025_14_2_1,2023,-0.3842437499999932,0.013428675503577037,-0.970000359017691
2025_14_2_2,2023,-0.39624374999999323,0.013860615452202116,-0.9987929019359956
2025_14_2_3,2023,-0.40024374999999324,0.013972835332091793,-1.0069212166728048
2025_15_0_1,2023,-0.5102437499999932,0.017312652493451236,-1.2542054792830737
2025_15_0_2,2023,-0.5242437499999932,0.01779961970705468,-1.2880795559286098
2025_15_0_3,2023,-0.5282437499999932,0.017924158766187182,-1.2967387271345883
2025_15_1_1,2023,-0.5332437499999932,0.017993929165200248,-1.3129117594345543
2025_15_1_2,2023,-0.5482437499999933,0.01849783685111884,-1.3518957248247214
2025_15_1_3,2023,-0.5532437499999933,0.018626723979076082,-1.361562551240916
2025_15_2_1,2023,-0.5832437499999932,0.019418647114172807,-1.4540430203956929
2025_15_2_2,2023,-0.5992437499999932,0.0199517810533632,-1.493108843480314
2025_15_2_3,2023,-0.6032437499999932,0.02008811609376591,-1.5029223257245248
2026_10_0_1,2023,-0.01285937499999622,5.9248244530232054e-5,-0.0416735070943592
2026_10_0_2,2023,-0.01385937499999622,7.519565194231625e-5,-0.04400584356529619
2026_10_0_3,2023,-0.01385937499999622,8.009422573281011e-5,-0.04475321590157285
2026_10_1_1,2023,-0.02185937499999622,7.682533461647011e-4,-0.0631876285347179
2026_10_1_2,2023,-0.02285937499999622,7.954098050800202e-4,-0.06666828556195731
2026_10_1_3,2023,-0.02285937499999622,7.994577620512974e-4,-0.06764830125070515
2026_10_2_1,2023,-0.042859374999996216,0.0015226110069144218,-0.1156618418315228
2026_10_2_2,2023,-0.04385937499999622,0.001597883254495526,-0.1185156959709684
2026_10_2_3,2023,-0.04485937499999622,0.0016182776037328224,-0.11963927902412713
2026_11_0_1,2023,-0.03385937499999622,6.347514462793566e-4,-0.10058321524393822
2026_11_0_2,2023,-0.03485937499999622,6.730227410720786e-4,-0.1048879662051069
2026_11_0_3,2023,-0.03585937499999622,6.814485751526549e-4,-0.10654934500668935
2026_11_1_1,2023,-0.04385937499999622,0.0014381239258886406,-0.12438597135967962
2026_11_1_2,2023,-0.04585937499999622,0.001526453169785741,-0.13007505226742058
2026_11_1_3,2023,-0.04685937499999622,0.0015497769460996306,-0.13173572504284375
2026_11_2_1,2023,-0.06785937499999622,0.0024794655432500284,-0.17915185313873216
2026_11_2_2,2023,-0.07085937499999621,0.002584858567945187,-0.18608148940864688
2026_11_2_3,2023,-0.07085937499999621,0.00261144756877271,-0.18786431569883713
2026_12_0_1,2023,-0.07232187499999614,0.002087793474085952,-0.19344305134915565
2026_12_0_2,2023,-0.07532187499999614,0.0021905873687725133,-0.20240956541133384
2026_12_0_3,2023,-0.07632187499999614,0.002218724383887136,-0.20471019838396914
2026_12_1_1,2023,-0.08532187499999613,0.002753969886207685,-0.21980785905069317
2026_12_1_2,2023,-0.08832187499999614,0.0028852669304640917,-0.22909260547708127
2026_12_1_3,2023,-0.08932187499999614,0.0029211812053798235,-0.23122965239721327
2026_12_2_1,2023,-0.11132187499999614,0.003998148645099105,-0.28561763573396254
2026_12_2_2,2023,-0.11632187499999615,0.004162004098453716,-0.2964747794602307
2026_12_2_3,2023,-0.11732187499999613,0.004202584880065373,-0.29952744813563736
2026_13_0_1,2023,-0.12832187499999614,0.0043942965449818095,-0.3276057669725197
